show_id,type,title,country,release_year,rating,listed_in,description,year_added,duration,country_encoded,genre_count,has_drama,content_age,is_recent,rating_category,is_international,predicted_content_type,content_prediction_confidence,predicted_rating_category,rating_prediction_confidence,feature_engineering_applied,ml_analysis_date
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Japan,2010,TV-14,"Action & Adventure, Anime Features, International Movies","When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",2021.0,85 min,319,3,0,3.0,1,Teen,1,Movie,1.0,0,0.44696171385639766,True,2025-08-12
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Japan,2005,TV-PG,"Action & Adventure, Anime Features, International Movies","While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",2021.0,97 min,319,3,0,3.0,1,Family,1,Movie,1.0,2,0.4563174027326147,True,2025-08-12
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Japan,2006,TV-PG,"Action & Adventure, Anime Features, International Movies","Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",2021.0,95 min,319,3,0,3.0,1,Family,1,Movie,1.0,2,0.4489351824716008,True,2025-08-12
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Japan,2004,TV-PG,"Action & Adventure, Anime Features, International Movies","Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",2021.0,83 min,319,3,0,3.0,1,Family,1,Movie,1.0,0,0.4498039099602613,True,2025-08-12
s65,Movie,Nightbooks,United States,2021,TV-PG,Children & Family Movies,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,2021.0,103 min,603,1,0,3.0,1,Family,0,Movie,1.0,0,0.4838744736630213,True,2025-08-12
s66,TV Show,Numberblocks,United Kingdom,2021,TV-Y,Kids' TV,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",2021.0,6 Seasons,506,1,0,3.0,1,Family,0,Movie,1.0,0,0.0,True,2025-08-12
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,India,2014,TV-G,"Docuseries, International TV Shows","Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",2021.0,1 Season,251,2,0,3.0,1,Family,1,Movie,1.0,0,0.0,True,2025-08-12
s68,TV Show,Saved by the Bell,United States,1994,TV-PG,"Kids' TV, TV Comedies","From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.",2021.0,9 Seasons,603,2,0,3.0,1,Family,0,Movie,1.0,0,0.0,True,2025-08-12
s69,Movie,Schumacher,United States,2021,TV-14,"Documentaries, International Movies, Sports Movies","Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",2021.0,113 min,603,3,0,3.0,1,Teen,1,Movie,1.0,2,0.39143870989903645,True,2025-08-12
s70,TV Show,Stories by Rabindranath Tagore,India,2015,TV-PG,"International TV Shows, TV Dramas",The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,2021.0,1 Season,251,2,1,3.0,1,Family,1,Movie,1.0,0,0.0,True,2025-08-12
s71,TV Show,Too Hot To Handle: Latino,United States,2021,TV-MA,"International TV Shows, Reality TV, Romantic TV Shows","On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",2021.0,1 Season,603,3,0,3.0,1,Adult,1,Movie,1.0,0,0.0,True,2025-08-12
s72,Movie,A StoryBots Space Adventure,United States,2021,TV-Y,Children & Family Movies,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,2021.0,13 min,603,1,0,3.0,1,Family,0,Movie,1.0,1,0.5963713620605566,True,2025-08-12
s73,TV Show,Jack Whitehall: Travels with My Father,United Kingdom,2021,TV-MA,"British TV Shows, Docuseries, International TV Shows","Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.",2021.0,5 Seasons,506,3,0,3.0,1,Adult,1,Movie,1.0,0,0.0,True,2025-08-12
s74,Movie,King of Boys,Nigeria,2018,TV-MA,"Dramas, International Movies","When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",2021.0,182 min,368,2,1,3.0,1,Adult,1,Movie,1.0,2,0.6356751034181161,True,2025-08-12
s75,TV Show,The World's Most Amazing Vacation Rentals,United States,2021,TV-PG,Reality TV,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",2021.0,2 Seasons,603,1,0,3.0,1,Family,0,Movie,1.0,0,0.0,True,2025-08-12
s76,Movie,You vs. Wild: Out Cold,United States,2021,TV-G,Children & Family Movies,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",2021.0,106 min,603,1,0,3.0,1,Family,0,Movie,1.0,0,0.48419837650664194,True,2025-08-12
s77,TV Show,Yowamushi Pedal,Japan,2013,TV-14,"Anime Series, International TV Shows","A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.",2021.0,1 Season,319,2,0,3.0,1,Teen,1,Movie,1.0,0,0.0,True,2025-08-12
s78,Movie,Little Singham - Black Shadow,United States,2021,TV-Y7,"Children & Family Movies, Comedies",Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?,2021.0,48 min,603,2,0,3.0,1,Family,0,Movie,1.0,1,0.5029873324489567,True,2025-08-12
s79,Movie,Tughlaq Durbar,United States,2020,TV-14,"Comedies, Dramas, International Movies",A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,2021.0,145 min,603,3,1,3.0,1,Teen,1,Movie,1.0,2,0.5742854877550881,True,2025-08-12
s80,Movie,Tughlaq Durbar (Telugu),United States,2021,TV-14,"Comedies, Dramas, International Movies",A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,2021.0,145 min,603,3,1,3.0,1,Teen,1,Movie,1.0,2,0.5742854877550881,True,2025-08-12
s81,Movie,Firedrake the Silver Dragon,United States,2021,TV-Y7,Children & Family Movies,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",2021.0,93 min,603,1,0,3.0,1,Family,0,Movie,1.0,0,0.4802674330820547,True,2025-08-12
s82,Movie,Kate,United States,2021,R,Action & Adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",2021.0,106 min,603,1,0,3.0,1,Adult,0,Movie,1.0,0,0.5638469997328179,True,2025-08-12
s83,TV Show,Lucifer,United States,2021,TV-14,"Crime TV Shows, TV Comedies, TV Dramas","Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",2021.0,6 Seasons,603,3,1,3.0,1,Teen,0,Movie,1.0,0,0.0,True,2025-08-12
s84,TV Show,Metal Shop Masters,United States,2021,TV-MA,Reality TV,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",2021.0,1 Season,603,1,0,3.0,1,Adult,0,Movie,1.0,0,0.0,True,2025-08-12
s85,Movie,Omo Ghetto: the Saga,Nigeria,2020,TV-MA,"Action & Adventure, Comedies, Dramas","Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.",2021.0,147 min,368,3,1,3.0,1,Adult,0,Movie,1.0,2,0.5398317461700418,True,2025-08-12
s86,TV Show,Pokémon Master Journeys: The Series,United States,2021,TV-Y7,"Anime Series, Kids' TV","As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!",2021.0,1 Season,603,2,0,3.0,1,Family,0,Movie,1.0,0,0.0,True,2025-08-12
s87,Movie,Prey,United States,2021,TV-MA,"International Movies, Thrillers",A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,2021.0,87 min,603,2,0,3.0,1,Adult,1,Movie,1.0,0,0.44960466819305706,True,2025-08-12
s88,TV Show,Titipo Titipo,United States,2019,TV-Y,"Kids' TV, Korean TV Shows",Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.,2021.0,2 Seasons,603,2,0,3.0,1,Family,0,Movie,1.0,0,0.0,True,2025-08-12
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,United States,2021,PG-13,"Documentaries, Sports Movies","From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",2021.0,96 min,603,2,0,3.0,1,Teen,0,Movie,1.0,1,0.3977298931878921,True,2025-08-12
s90,TV Show,Mighty Raju,United States,2017,TV-Y7,Kids' TV,"Born with superhuman abilities, young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!",2021.0,4 Seasons,603,1,0,3.0,1,Family,0,Movie,1.0,0,0.0,True,2025-08-12
