show_id,type,title,country,release_year,rating,listed_in,country_encoded,genre_count,has_drama,content_age,rating_category,ml_predicted_type
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Japan,2006,TV-PG,"Action & Adventure, Anime Features, International Movies",319,3,0,3.0,Family,Movie
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Japan,2004,TV-PG,"Action & Adventure, Anime Features, International Movies",319,3,0,3.0,Family,Movie
s65,Movie,Nightbooks,United States,2021,TV-PG,Children & Family Movies,603,1,0,3.0,Family,Movie
s66,TV Show,Numberblocks,United Kingdom,2021,TV-Y,Kids' TV,506,1,0,3.0,Family,Movie
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,India,2014,TV-G,"Docuseries, International TV Shows",251,2,0,3.0,Family,Movie
s68,TV Show,Saved by the Bell,United States,1994,TV-PG,"Kids' TV, TV Comedies",603,2,0,3.0,Family,Movie
s69,Movie,Schumacher,United States,2021,TV-14,"Documentaries, International Movies, Sports Movies",603,3,0,3.0,Teen,Movie
s70,TV Show,Stories by Rabindranath Tagore,India,2015,TV-PG,"International TV Shows, TV Dramas",251,2,1,3.0,Family,Movie
s71,TV Show,Too Hot To Handle: Latino,United States,2021,TV-MA,"International TV Shows, Reality TV, Romantic TV Shows",603,3,0,3.0,Adult,Movie
s72,Movie,A StoryBots Space Adventure,United States,2021,TV-Y,Children & Family Movies,603,1,0,3.0,Family,Movie
s73,TV Show,Jack Whitehall: Travels with My Father,United Kingdom,2021,TV-MA,"British TV Shows, Docuseries, International TV Shows",506,3,0,3.0,Adult,Movie
s74,Movie,King of Boys,Nigeria,2018,TV-MA,"Dramas, International Movies",368,2,1,3.0,Adult,Movie
s75,TV Show,The World's Most Amazing Vacation Rentals,United States,2021,TV-PG,Reality TV,603,1,0,3.0,Family,Movie
s76,Movie,You vs. Wild: Out Cold,United States,2021,TV-G,Children & Family Movies,603,1,0,3.0,Family,Movie
s77,TV Show,Yowamushi Pedal,Japan,2013,TV-14,"Anime Series, International TV Shows",319,2,0,3.0,Teen,Movie
s78,Movie,Little Singham - Black Shadow,United States,2021,TV-Y7,"Children & Family Movies, Comedies",603,2,0,3.0,Family,Movie
s79,Movie,Tughlaq Durbar,United States,2020,TV-14,"Comedies, Dramas, International Movies",603,3,1,3.0,Teen,Movie
s80,Movie,Tughlaq Durbar (Telugu),United States,2021,TV-14,"Comedies, Dramas, International Movies",603,3,1,3.0,Teen,Movie
s81,Movie,Firedrake the Silver Dragon,United States,2021,TV-Y7,Children & Family Movies,603,1,0,3.0,Family,Movie
s82,Movie,Kate,United States,2021,R,Action & Adventure,603,1,0,3.0,Adult,Movie
s83,TV Show,Lucifer,United States,2021,TV-14,"Crime TV Shows, TV Comedies, TV Dramas",603,3,1,3.0,Teen,Movie
s84,TV Show,Metal Shop Masters,United States,2021,TV-MA,Reality TV,603,1,0,3.0,Adult,Movie
s85,Movie,Omo Ghetto: the Saga,Nigeria,2020,TV-MA,"Action & Adventure, Comedies, Dramas",368,3,1,3.0,Adult,Movie
s86,TV Show,Pokémon Master Journeys: The Series,United States,2021,TV-Y7,"Anime Series, Kids' TV",603,2,0,3.0,Family,Movie
s87,Movie,Prey,United States,2021,TV-MA,"International Movies, Thrillers",603,2,0,3.0,Adult,Movie
s88,TV Show,Titipo Titipo,United States,2019,TV-Y,"Kids' TV, Korean TV Shows",603,2,0,3.0,Family,Movie
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,United States,2021,PG-13,"Documentaries, Sports Movies",603,2,0,3.0,Teen,Movie
s90,TV Show,Mighty Raju,United States,2017,TV-Y7,Kids' TV,603,1,0,3.0,Family,Movie
s91,Movie,Paradise Hills,"Spain, United States",2019,TV-MA,"Sci-Fi & Fantasy, Thrillers",469,2,0,3.0,Adult,Movie
s92,Movie,The Women and the Murderer,France,2021,TV-14,"Documentaries, International Movies",162,2,0,3.0,Teen,Movie
s93,TV Show,Into the Night,Belgium,2021,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",38,3,1,3.0,Adult,Movie
s94,Movie,JJ+E,United States,2021,TV-MA,"Dramas, International Movies, Romantic Movies",603,3,1,3.0,Adult,Movie
s95,Movie,Show Dogs,"United Kingdom, United States",2018,PG,"Children & Family Movies, Comedies",589,2,0,3.0,Family,Movie
s96,TV Show,The Circle,"United States, United Kingdom",2021,TV-MA,Reality TV,718,1,0,3.0,Adult,Movie
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,United States,2018,TV-MA,"Documentaries, Music & Musicals",603,2,0,3.0,Adult,Movie
s98,TV Show,Kid Cosmic,United States,2021,TV-Y7,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",603,3,0,3.0,Family,Movie
s99,TV Show,Octonauts: Above & Beyond,United Kingdom,2021,TV-Y,"British TV Shows, Kids' TV",506,2,0,3.0,Family,Movie
s100,TV Show,On the Verge,"France, United States",2021,TV-MA,"TV Comedies, TV Dramas",206,2,1,3.0,Adult,Movie
s101,TV Show,Tobot Galaxy Detectives,United States,2019,TV-Y7,Kids' TV,603,1,0,3.0,Family,Movie
s102,Movie,Untold: Breaking Point,United States,2021,TV-MA,"Documentaries, Sports Movies",603,2,0,3.0,Adult,Movie
s103,TV Show,Countdown: Inspiration4 Mission to Space,United States,2021,TV-14,"Docuseries, Science & Nature TV",603,2,0,3.0,Teen,Movie
s104,Movie,Shadow Parties,United States,2020,TV-MA,"Dramas, International Movies, Thrillers",603,3,1,3.0,Adult,Movie
s105,TV Show,Tayo the Little Bus,South Korea,2016,TV-Y,"Kids' TV, Korean TV Shows",435,2,0,3.0,Family,Movie
s106,Movie,Angamaly Diaries,India,2017,TV-14,"Action & Adventure, Comedies, Dramas",251,3,1,3.0,Teen,Movie
s107,TV Show,Bunk'd,United States,2021,TV-G,"Kids' TV, TV Comedies",603,2,0,3.0,Family,Movie
s108,Movie,A Champion Heart,United States,2018,G,"Children & Family Movies, Dramas",603,2,1,3.0,Family,Movie
s109,TV Show,Dive Club,Australia,2021,TV-G,"Kids' TV, TV Dramas, Teen TV Shows",15,3,1,3.0,Family,Movie
s110,TV Show,La casa de papel,Spain,2021,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",444,3,0,3.0,Adult,Movie
s111,TV Show,Money Heist: From Tokyo to Berlin,United States,2021,TV-MA,"Docuseries, International TV Shows, Spanish-Language TV Shows",603,3,0,3.0,Adult,Movie
s112,TV Show,Sharkdog,"United States, Singapore",2021,TV-Y,Kids' TV,705,1,0,3.0,Family,Movie
s113,Movie,Worth,United States,2021,PG-13,Dramas,603,1,1,3.0,Teen,Movie
s114,Movie,Afterlife of the Party,United States,2021,TV-PG,"Comedies, Romantic Movies",603,2,0,3.0,Family,Movie
s115,Movie,Anjaam,India,1994,TV-14,"Dramas, International Movies, Thrillers",251,3,1,3.0,Teen,Movie
s116,Movie,Bright Star,"United Kingdom, Australia, France",2009,PG,"Dramas, Romantic Movies",510,2,1,3.0,Family,Movie
s117,Movie,Dhanak,India,2015,TV-PG,"Comedies, Dramas, Independent Movies",251,3,1,3.0,Family,Movie
s118,Movie,Final Account,"United Kingdom, United States",2021,PG-13,Documentaries,589,1,0,3.0,Teen,Movie
s119,Movie,Gurgaon,India,2017,TV-14,"Dramas, International Movies, Thrillers",251,3,1,3.0,Teen,Movie
s120,Movie,Here and There,United States,2020,TV-MA,"Dramas, International Movies, Romantic Movies",603,3,1,3.0,Adult,Movie
s121,TV Show,Heroes of Goo Jit Zu,Australia,2021,TV-Y7,"Kids' TV, TV Comedies",15,2,0,3.0,Family,Movie
s122,TV Show,Hotel Del Luna,United States,2019,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",603,3,0,3.0,Teen,Movie
s123,Movie,In the Cut,"United Kingdom, Australia, France, United States",2003,R,Thrillers,511,1,0,3.0,Adult,Movie
s124,TV Show,Luv Kushh,United States,2012,TV-Y7,Kids' TV,603,1,0,3.0,Family,Movie
s125,TV Show,Pororo - The Little Penguin,South Korea,2013,TV-Y7,"Kids' TV, Korean TV Shows",435,2,0,3.0,Family,Movie
s126,TV Show,Q-Force,United States,2021,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Comedies",603,3,0,3.0,Adult,Movie
s127,Movie,Shikara,India,2020,TV-14,"Dramas, International Movies, Romantic Movies",251,3,1,3.0,Teen,Movie
s128,Movie,A Cinderella Story,"United States, Canada",2004,PG,"Children & Family Movies, Comedies",621,2,0,3.0,Family,Movie
s129,Movie,Agatha Christie's Crooked House,United States,2017,PG-13,"Dramas, International Movies, Thrillers",603,3,1,3.0,Teen,Movie
s130,Movie,An Unfinished Life,"Germany, United States",2005,PG-13,Dramas,228,1,1,3.0,Teen,Movie
s131,Movie,Barbie Big City Big Dreams,United States,2021,TV-Y,"Children & Family Movies, Music & Musicals",603,2,0,3.0,Family,Movie
s132,Movie,Blade Runner: The Final Cut,United States,1982,R,"Action & Adventure, Classic Movies, Cult Movies",603,3,0,3.0,Adult,Movie
s133,TV Show,Brave Animated Series,United States,2021,TV-MA,"International TV Shows, TV Action & Adventure, TV Comedies",603,3,0,3.0,Adult,Movie
s134,Movie,Chappie,"South Africa, United States",2015,R,"Action & Adventure, Sci-Fi & Fantasy",431,2,0,3.0,Adult,Movie
s135,Movie,Clear and Present Danger,"United States, Mexico",1994,PG-13,"Action & Adventure, Dramas",690,2,1,3.0,Teen,Movie
s136,Movie,Cliffhanger,"United States, Italy, France, Japan",1993,R,Action & Adventure,683,1,0,3.0,Adult,Movie
s137,Movie,Cold Mountain,"United States, Italy, Romania, United Kingdom",2003,R,"Dramas, Romantic Movies",684,2,1,3.0,Adult,Movie
s138,Movie,Crocodile Dundee in Los Angeles,"Australia, United States",2001,PG,"Action & Adventure, Comedies",30,2,0,3.0,Family,Movie
s139,Movie,Dear John,United States,2010,PG-13,"Dramas, Romantic Movies",603,2,1,3.0,Teen,Movie
s140,Movie,Do the Right Thing,United States,1989,R,"Classic Movies, Comedies, Dramas",603,3,1,3.0,Adult,Movie
s141,Movie,"El patrón, radiografía de un crimen","Argentina, Venezuela",2014,TV-MA,"Dramas, International Movies, Thrillers",14,3,1,3.0,Adult,Movie
s142,Movie,Extraction,"United States, United Kingdom, Canada",2015,R,Action & Adventure,720,1,0,3.0,Adult,Movie
s143,Movie,Freedom Writers,"Germany, United States",2007,PG-13,Dramas,228,1,1,3.0,Teen,Movie
s144,Movie,Green Lantern,United States,2011,PG-13,"Action & Adventure, Sci-Fi & Fantasy",603,2,0,3.0,Teen,Movie
s145,Movie,House Party,United States,1990,R,"Comedies, Cult Movies",603,2,0,3.0,Adult,Movie
s146,Movie,House Party 2,United States,1991,R,"Comedies, Cult Movies, Music & Musicals",603,3,0,3.0,Adult,Movie
s147,Movie,House Party 3,United States,1994,R,"Comedies, Music & Musicals",603,2,0,3.0,Adult,Movie
s148,TV Show,How to Be a Cowboy,United States,2021,TV-PG,Reality TV,603,1,0,3.0,Family,Movie
s149,TV Show,HQ Barbers,United States,2020,TV-14,TV Shows,603,1,0,3.0,Teen,Movie
s150,Movie,I Got the Hook Up,United States,1998,R,"Action & Adventure, Comedies",603,2,0,3.0,Adult,Movie
s151,Movie,In Too Deep,United States,1999,R,Thrillers,603,1,0,3.0,Adult,Movie
s152,Movie,Initial D,"China, Hong Kong",2005,TV-14,"Action & Adventure, International Movies",108,2,0,3.0,Teen,Movie
s153,Movie,Janoskians: Untold and Untrue,United States,2016,TV-MA,Comedies,603,1,0,3.0,Adult,Movie
s154,TV Show,Kid-E-Cats,Russia,2016,TV-Y,Kids' TV,407,1,0,3.0,Family,Movie
s155,TV Show,Kuroko's Basketball,Japan,2015,TV-MA,"Anime Series, International TV Shows, Teen TV Shows",319,3,0,3.0,Adult,Movie
s156,Movie,Labyrinth,"United Kingdom, United States",1986,PG,"Action & Adventure, Children & Family Movies, Cult Movies",589,3,0,3.0,Family,Movie
s157,Movie,Letters to Juliet,United States,2010,PG,"Comedies, Dramas, Romantic Movies",603,3,1,3.0,Family,Movie
s158,Movie,Level 16,Canada,2018,TV-14,"Sci-Fi & Fantasy, Thrillers",58,2,0,3.0,Teen,Movie
s159,Movie,Love Don't Cost a Thing,United States,2003,PG-13,"Comedies, Romantic Movies",603,2,0,3.0,Teen,Movie
s160,Movie,Love in a Puff,Hong Kong,2010,TV-MA,"Comedies, Dramas, International Movies",239,3,1,3.0,Adult,Movie
s161,TV Show,Major Dad,United States,1992,TV-PG,TV Comedies,603,1,0,3.0,Family,Movie
s162,Movie,Mars Attacks!,United States,1996,PG-13,"Comedies, Cult Movies, Sci-Fi & Fantasy",603,3,0,3.0,Teen,Movie
s163,Movie,Marshall,"United States, China, Hong Kong",2017,PG-13,Dramas,635,1,1,3.0,Teen,Movie
s164,Movie,My Boss's Daughter,United States,2003,R,"Comedies, Romantic Movies",603,2,0,3.0,Adult,Movie
s165,Movie,Mystery Men,United States,1999,PG-13,"Action & Adventure, Comedies",603,2,0,3.0,Teen,Movie
s166,TV Show,Oldsters,United States,2019,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",603,3,0,3.0,Adult,Movie
s167,Movie,Once Upon a Time in America,"Italy, United States",1984,R,"Classic Movies, Dramas",316,2,1,3.0,Adult,Movie
s168,Movie,Open Season 2,"United States, Canada",2008,PG,"Children & Family Movies, Comedies",621,2,0,3.0,Family,Movie
s169,Movie,Osmosis Jones,United States,2001,PG,"Action & Adventure, Children & Family Movies, Comedies",603,3,0,3.0,Family,Movie
s170,Movie,Poseidon,United States,2006,PG-13,"Action & Adventure, Dramas",603,2,1,3.0,Teen,Movie
s171,Movie,Rhyme & Reason,United States,1997,R,"Documentaries, Music & Musicals",603,2,0,3.0,Adult,Movie
s172,Movie,Same Kind of Different as Me,United States,2017,PG-13,"Dramas, Faith & Spirituality",603,2,1,3.0,Teen,Movie
s173,Movie,School of Rock,"United States, Germany",2003,PG-13,"Comedies, Music & Musicals",656,2,0,3.0,Teen,Movie
s174,Movie,Snervous Tyler Oakley,United States,2015,PG-13,"Documentaries, LGBTQ Movies",603,2,0,3.0,Teen,Movie
s175,Movie,Tears of the Sun,United States,2003,R,"Action & Adventure, Dramas",603,2,1,3.0,Adult,Movie
s176,Movie,The Blue Lagoon,United States,1980,R,"Dramas, Romantic Movies",603,2,1,3.0,Adult,Movie
s177,Movie,The Golden Child,United States,1986,PG-13,"Action & Adventure, Comedies",603,2,0,3.0,Teen,Movie
s178,Movie,The Guns of Navarone,"United Kingdom, United States",1961,TV-14,"Action & Adventure, Classic Movies",589,2,0,3.0,Teen,Movie
s179,Movie,The Interview,United States,2014,R,"Action & Adventure, Comedies",603,2,0,3.0,Adult,Movie
s180,Movie,The Nutty Professor,United States,1996,PG-13,"Comedies, Romantic Movies",603,2,0,3.0,Teen,Movie
s181,Movie,The Nutty Professor II: The Klumps,United States,2000,PG-13,"Comedies, Romantic Movies",603,2,0,3.0,Teen,Movie
s182,TV Show,Turning Point: 9/11 and the War on Terror,United States,2021,TV-14,Docuseries,603,1,0,3.0,Teen,Movie
s183,Movie,Welcome Home Roscoe Jenkins,United States,2008,PG-13,Comedies,603,1,0,3.0,Teen,Movie
s184,Movie,In the Line of Fire,United States,1993,R,"Action & Adventure, Classic Movies",603,2,0,3.0,Adult,Movie
s185,TV Show,Sparking Joy,United States,2021,TV-PG,Reality TV,603,1,0,3.0,Family,Movie
s186,Movie,Untold: Crime & Penalties,United States,2021,TV-MA,"Documentaries, Sports Movies",603,2,0,3.0,Adult,Movie
s187,TV Show,Hometown Cha-Cha-Cha,United States,2021,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",603,3,0,3.0,Teen,Movie
s188,TV Show,The Ingenuity of the Househusband,United States,2021,TV-G,"International TV Shows, TV Comedies",603,2,0,3.0,Family,Movie
s189,Movie,2 Alone in Paris,France,2008,TV-MA,"Comedies, International Movies",162,2,0,3.0,Adult,Movie
s190,TV Show,Bread Barbershop,United States,2020,TV-Y,"Kids' TV, TV Comedies",603,2,0,3.0,Family,Movie
s191,Movie,Thimmarusu,India,2021,TV-14,"Dramas, International Movies",251,2,1,3.0,Teen,Movie
s192,Movie,Wind River,"United Kingdom, Canada, United States",2017,R,"Dramas, Independent Movies",520,2,1,3.0,Adult,Movie
s193,Movie,C Kkompany,India,2008,TV-14,"Action & Adventure, Comedies, International Movies",251,3,0,3.0,Teen,Movie
s194,TV Show,D.P.,", South Korea",2021,TV-MA,"International TV Shows, TV Dramas",1,2,1,3.0,Adult,Movie
s195,TV Show,Deadly Sins,United States,2002,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",603,3,1,3.0,Adult,Movie
s196,Movie,EMI: Liya Hai To Chukana Padega,India,2008,TV-14,"Comedies, Dramas, International Movies",251,3,1,3.0,Teen,Movie
s197,Movie,He's All That,United States,2021,TV-14,"Comedies, Romantic Movies",603,2,0,3.0,Teen,Movie
s198,TV Show,I Heart Arlo,United States,2021,TV-Y7,"Kids' TV, TV Comedies",603,2,0,3.0,Family,Movie
s199,TV Show,King of Boys: The Return of the King,Nigeria,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",368,3,1,3.0,Adult,Movie
s200,Movie,Koi Aap Sa,India,2006,TV-14,"Comedies, Dramas, International Movies",251,3,1,3.0,Teen,Movie
s201,Movie,Krishna Cottage,India,2004,TV-14,"Action & Adventure, Horror Movies, International Movies",251,3,0,3.0,Teen,Movie
s202,Movie,Kucch To Hai,India,2003,TV-14,"Dramas, International Movies, Thrillers",251,3,1,3.0,Teen,Movie
s203,Movie,Kyaa Kool Hai Hum,India,2005,TV-MA,"Comedies, International Movies, Music & Musicals",251,3,0,3.0,Adult,Movie
s204,Movie,Kyaa Kool Hain Hum 3,India,2016,TV-MA,"Comedies, International Movies",251,2,0,3.0,Adult,Movie
s205,Movie,Kyaa Super Kool Hain Hum,India,2012,TV-MA,"Comedies, International Movies",251,2,0,3.0,Adult,Movie
s206,Movie,Kyo Kii... Main Jhuth Nahin Bolta,India,2001,TV-14,"Comedies, International Movies, Sci-Fi & Fantasy",251,3,0,3.0,Teen,Movie
s207,Movie,"LSD: Love, Sex Aur Dhokha",India,2010,TV-MA,"Dramas, Independent Movies, International Movies",251,3,1,3.0,Adult,Movie
s208,Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,India,2008,TV-14,"Action & Adventure, International Movies, Music & Musicals",251,3,0,3.0,Teen,Movie
s209,Movie,Once Upon a Time in Mumbaai,India,2010,TV-14,"Dramas, International Movies, Music & Musicals",251,3,1,3.0,Teen,Movie
s210,Movie,Once Upon a Time in Mumbai Dobaara!,India,2013,TV-14,"Dramas, International Movies, Music & Musicals",251,3,1,3.0,Teen,Movie
s211,Movie,Ragini MMS,India,2011,TV-MA,"Horror Movies, International Movies",251,2,0,3.0,Adult,Movie
s212,Movie,Ragini MMS 2,India,2014,TV-MA,"Horror Movies, International Movies",251,2,0,3.0,Adult,Movie
s213,TV Show,Rebellion,Ireland,2016,TV-MA,"International TV Shows, TV Dramas",279,2,1,3.0,Adult,Movie
s214,TV Show,RIDE ON TIME,United States,2021,TV-PG,"Docuseries, International TV Shows",603,2,0,3.0,Family,Movie
s215,Movie,SAS: Rise of the Black Swan,United States,2021,R,"Action & Adventure, International Movies",603,2,0,3.0,Adult,Movie
